step,queue,cum_queue
0,0,0.0
100,0,0.0
200,4,-96.0
300,6,-738.0
400,8,-1577.0
500,16,-2860.0
600,15,-4031.0
700,19,-5563.0
800,24,-7861.0
900,21,-10519.0
1000,27,-13182.0
1100,28,-15514.0
1200,21,-17645.0
1300,18,-19681.0
1400,14,-21567.0
1500,17,-23318.0
1600,26,-25354.0
1700,24,-27449.0
1800,20,-29265.0
1900,20,-31371.0
2000,16,-33198.0
2100,15,-35113.0
2200,26,-37129.0
2300,23,-39084.0
2400,16,-40870.0
2500,18,-42612.0
2600,24,-44953.0
2700,21,-47753.0
2800,26,-50075.0
2900,15,-51606.0
3000,9,-52609.0
3100,13,-53887.0
3200,16,-55454.0
3300,14,-57664.0
3400,17,-59053.0
3500,18,-60408.0
3600,18,-62051.0
3700,15,-63748.0
3800,11,-65582.0
3900,17,-66908.0
4000,19,-68135.0
4100,23,-70058.0
4200,15,-71943.0
4300,13,-73673.0
4400,18,-75603.0
4500,27,-77777.0
4600,21,-79608.0
4700,17,-81226.0
4800,19,-83184.0
4900,23,-85374.0
5000,26,-88122.0
5100,25,-90265.0
5200,23,-92371.0
5300,15,-94189.0
5400,19,-95997.0
5500,19,-98187.0
5600,17,-99677.0
5700,15,-100842.0
5800,12,-102219.0
5900,16,-103830.0
6000,18,-105915.0
6100,26,-108082.0
6200,27,-110388.0
6300,22,-112639.0
6400,17,-114800.0
6500,17,-117046.0
6600,22,-119384.0
6700,30,-121826.0
6800,27,-124308.0
6900,24,-126869.0
7000,24,-130053.0
7100,30,-133066.0
7200,34,-135706.0
7300,27,-138369.0
7400,26,-140933.0
7500,21,-144032.0
7600,31,-146581.0
7700,39,-149629.0
7800,31,-152931.0
7900,25,-155740.0
8000,25,-158819.0
8100,31,-161791.0
8200,30,-164328.0
8300,19,-166398.0
8400,22,-168323.0
8500,15,-170541.0
8600,16,-172399.0
8700,26,-174473.0
8800,31,-177002.0
8900,27,-179873.0
9000,17,-182431.0
9100,19,-184432.0
9200,31,-186853.0
9300,26,-189243.0
9400,25,-191453.0
9500,27,-194258.0
9600,17,-196841.0
9700,19,-198900.0
9800,21,-200402.0
9900,27,-202668.0
