step,queue,delay,cum_delay
0,0,0.0,0.0
100,0,0.0,0.0
200,4,3.7,-98.9
300,4,17.0,-1701.0999999999997
400,5,20.2,-3996.9999999999923
500,5,28.4,-6671.899999999982
600,11,32.4,-8896.49999999997
700,10,25.0,-13769.99999999997
800,18,92.19999999999999,-18342.69999999996
900,11,18.800000000000004,-24822.59999999995
1000,13,79.10000000000001,-31027.19999999998
1100,15,52.3,-36375.59999999999
1200,13,60.49999999999999,-43316.099999999984
1300,15,105.80000000000001,-50652.49999999998
1400,10,53.10000000000001,-56184.199999999946
1500,11,59.4,-62183.09999999991
1600,10,48.9,-68201.79999999993
1700,11,71.80000000000001,-73035.60000000003
1800,10,25.8,-77784.30000000008
1900,12,68.2,-82696.50000000022
2000,12,44.599999999999994,-88275.6000000003
2100,13,71.30000000000001,-94042.10000000038
2200,17,39.1,-98919.90000000034
2300,7,43.7,-105382.20000000032
2400,18,87.1,-110782.60000000037
2500,14,40.2,-117323.30000000035
2600,15,97.49999999999999,-124187.20000000024
2700,14,48.0,-128982.30000000024
2800,11,58.699999999999996,-136089.30000000045
2900,17,69.80000000000001,-141927.2000000003
3000,11,34.50000000000001,-147025.60000000036
3100,9,40.7,-153550.90000000023
3200,13,57.699999999999996,-157463.20000000007
3300,14,12.4,-163720.3
3400,11,74.9,-167958.50000000006
3500,13,35.9,-172396.8000000001
3600,9,47.5,-178101.70000000013
3700,15,76.0,-183500.50000000017
3800,15,36.0,-188989.0000000002
3900,16,98.19999999999999,-196259.70000000016
4000,12,44.5,-201373.20000000022
4100,9,47.300000000000004,-207309.9000000003
4200,13,94.5,-212942.50000000038
4300,12,38.6,-217369.40000000046
4400,11,67.1,-222918.50000000067
4500,12,55.3,-228546.90000000058
4600,12,34.400000000000006,-233525.1000000003
4700,13,49.199999999999996,-239602.60000000012
4800,13,61.60000000000001,-244438.3000000003
4900,15,32.699999999999996,-251447.50000000035
5000,14,79.9,-257804.1000000004
5100,16,81.69999999999999,-264687.0000000004
5200,10,48.0,-270600.3000000004
5300,14,53.9,-274725.30000000045
5400,17,65.4,-281186.4000000005
5500,14,76.8,-288194.3000000004
5600,9,35.0,-292576.70000000036
5700,8,28.700000000000003,-296734.70000000007
5800,12,53.6,-301805.39999999956
5900,14,63.99999999999999,-307733.9999999996
6000,18,41.3,-314422.8000000001
6100,14,71.6,-320704.70000000007
6200,16,49.0,-327553.1
6300,13,52.599999999999994,-333622.29999999976
6400,19,55.699999999999996,-341113.9999999997
6500,18,83.9,-347603.5999999997
6600,22,108.40000000000002,-356040.09999999974
6700,17,91.4,-365219.09999999986
6800,24,113.0,-375106.7999999996
6900,26,115.9,-385488.99999999977
7000,27,142.1,-397044.1999999997
7100,27,80.3,-408938.89999999997
7200,23,94.30000000000001,-418997.3999999995
7300,25,83.0,-430851.89999999956
7400,32,165.10000000000002,-441406.49999999953
7500,37,52.300000000000004,-451985.69999999943
7600,24,92.2,-464403.29999999964
7700,33,92.5,-475930.3999999997
7800,39,143.7,-488572.6000000001
7900,43,241.3,-503127.10000000015
8000,37,82.6,-516392.20000000024
8100,33,162.4,-532181.3000000006
8200,41,156.10000000000002,-546545.2000000004
8300,33,156.4,-562372.0000000005
8400,35,140.0,-575535.4000000001
8500,26,77.3,-585818.2000000004
8600,35,103.5,-598062.4000000001
8700,41,174.9,-609324.5000000002
8800,48,183.0,-623898.8000000005
8900,40,107.39999999999999,-640000.5000000007
9000,42,183.8,-653966.0000000006
9100,41,133.6,-668610.400000001
9200,39,222.7,-683805.0000000009
9300,33,94.7,-695890.2000000008
9400,25,106.20000000000002,-709795.2000000009
9500,36,145.0,-723252.2000000014
9600,37,157.60000000000002,-736476.3000000014
9700,26,70.4,-748556.4000000011
9800,27,85.7,-757137.8000000007
9900,36,110.7,-769256.5000000008
