step,queue,delay,cum_queue
0,0,0.0,0.0
100,0,0.0,0.0
200,4,8.4,-96.0
300,6,41.099999999999994,-777.0
400,11,99.69999999999999,-1628.0
500,16,219.89999999999998,-2924.0
600,14,134.7,-4151.0
700,19,195.60000000000002,-5713.0
800,24,200.9,-8105.0
900,23,241.29999999999998,-10884.0
1000,31,485.9,-13525.0
1100,27,377.0,-15979.0
1200,21,239.20000000000002,-18280.0
1300,16,232.50000000000003,-20411.0
1400,13,113.2,-22277.0
1500,20,169.6,-24002.0
1600,25,345.4,-25851.0
1700,23,254.3,-28148.0
1800,18,227.10000000000002,-30167.0
1900,18,189.09999999999997,-32327.0
2000,13,133.10000000000002,-34218.0
2100,21,296.6,-35927.0
2200,24,250.0,-37771.0
2300,21,309.49999999999994,-39764.0
2400,13,169.6,-41702.0
2500,13,130.7,-43355.0
2600,23,203.3,-45170.0
2700,25,319.8999999999999,-47315.0
2800,21,314.2,-49463.0
2900,11,139.89999999999998,-51145.0
3000,6,57.4,-52430.0
3100,14,88.69999999999999,-53462.0
3200,22,239.00000000000003,-55093.0
3300,24,298.90000000000003,-57360.0
3400,15,217.10000000000002,-59305.0
3500,12,142.6,-61108.0
3600,16,132.39999999999998,-62768.0
3700,24,304.3,-64633.0
3800,21,279.3,-66548.0
3900,15,165.5,-68278.0
4000,13,145.4,-69885.0
4100,18,132.20000000000002,-71652.0
4200,23,326.00000000000006,-73712.0
4300,20,292.5,-75694.0
4400,17,198.0,-77622.0
4500,21,248.79999999999998,-79732.0
4600,18,177.4,-82135.0
4700,29,237.3,-84343.0
4800,23,331.7,-86261.0
4900,27,291.8,-88566.0
5000,23,263.3,-91355.0
5100,26,199.8,-94398.0
5200,23,385.30000000000007,-96521.0
5300,22,337.8,-98415.0
5400,17,143.79999999999998,-100222.0
5500,15,163.2,-101884.0
5600,11,100.0,-103778.0
5700,17,229.3,-105161.0
5800,17,195.7,-106787.0
5900,16,136.7,-108800.0
6000,18,214.8,-110893.0
6100,30,433.5,-113234.0
6200,24,308.5,-115552.0
6300,26,365.5,-118011.0
6400,20,251.3,-120704.0
6500,15,144.4,-123087.0
6600,30,177.5,-125234.0
6700,27,330.20000000000005,-127724.0
6800,28,386.5,-130222.0
6900,22,226.5,-132762.0
7000,23,264.09999999999997,-135177.0
7100,25,120.9,-138131.0
7200,29,334.40000000000003,-140481.0
7300,27,340.40000000000003,-142674.0
7400,20,233.39999999999998,-144920.0
7500,24,303.40000000000003,-147224.0
7600,18,140.9,-150047.0
7700,26,200.6,-152501.0
7800,37,470.40000000000003,-155426.0
7900,31,372.29999999999995,-158380.0
8000,30,376.2,-161280.0
8100,28,217.89999999999998,-164634.0
8200,22,246.59999999999997,-167594.0
8300,27,295.9,-169849.0
8400,21,258.7,-171692.0
8500,26,321.2,-173737.0
8600,20,193.5,-176015.0
8700,15,165.5,-177993.0
8800,26,198.60000000000002,-180423.0
8900,39,481.6,-183528.0
9000,30,416.4,-186445.0
9100,19,253.0,-188904.0
9200,20,298.70000000000005,-190966.0
9300,18,135.0,-193435.0
9400,18,166.00000000000003,-195516.0
9500,29,354.0,-197557.0
9600,23,245.4,-199827.0
9700,14,245.40000000000003,-201581.0
9800,13,97.69999999999999,-203322.0
9900,17,184.1,-204977.0
